device_trail_id,start,count,battery
1,1767243600,4041,89
1,1769922000,3039,82
1,1772341200,2511,74
2,1767243600,2046,92
2,1769922000,1691,82
2,1772341200,1474,76
3,1767243600,1733,88
3,1769922000,1353,80
3,1772341200,1290,72
4,1767243600,1519,90
4,1769922000,1149,78
4,1772341200,1139,64
5,1767243600,1268,89
5,1769922000,1041,77
5,1772341200,813,63
6,1767243600,1117,87
6,1769922000,919,82
6,1772341200,757,73
7,1767243600,791,89
7,1769922000,621,79
7,1772341200,586,66
8,1767243600,836,90
8,1769922000,735,83
8,1772341200,640,75
9,1767243600,618,90
9,1769922000,480,77
9,1772341200,474,66
10,1767243600,537,92
10,1769922000,587,85
10,1772341200,346,76
