device_trail_id,start,count,battery
1,1767243600,2908,90
1,1769922000,2239,77
1,1772341200,2808,69
2,1767243600,1551,89
2,1769922000,1530,80
2,1772341200,1537,68
3,1767243600,1128,94
3,1769922000,967,83
3,1772341200,1224,73
4,1767243600,994,93
4,1769922000,927,85
4,1772341200,1094,74
5,1767243600,843,85
5,1769922000,791,75
5,1772341200,1051,65
6,1767243600,806,93
6,1769922000,680,85
6,1772341200,720,77
7,1767243600,616,84
7,1769922000,538,74
7,1772341200,573,67
8,1767243600,607,94
8,1769922000,531,87
8,1772341200,598,76
9,1767243600,446,90
9,1769922000,410,82
9,1772341200,441,76
10,1767243600,491,88
10,1769922000,458,78
10,1772341200,344,68
