device_trail_id,start,count,battery
1,1766984400,484,97
1,1767589200,623,94
1,1768194000,656,92
1,1768798800,635,92
1,1769403600,623,90
1,1770008400,519,87
1,1770613200,616,82
1,1771218000,607,81
1,1771822800,541,76
1,1772427600,727,73
1,1773028800,591,70
1,1773633600,649,70
1,1774238400,563,69
1,1774843200,121,69
2,1766984400,239,99
2,1767589200,365,97
2,1768194000,324,94
2,1768798800,348,90
2,1769403600,381,89
2,1770008400,332,86
2,1770613200,451,85
2,1771218000,369,82
2,1771822800,351,80
2,1772427600,297,78
2,1773028800,349,75
2,1773633600,392,71
2,1774238400,344,68
2,1774843200,76,68
3,1766984400,182,99
3,1767589200,209,98
3,1768194000,282,96
3,1768798800,262,96
3,1769403600,257,93
3,1770008400,233,90
3,1770613200,233,89
3,1771218000,262,86
3,1771822800,233,83
3,1772427600,254,82
3,1773028800,260,80
3,1773633600,312,78
3,1774238400,267,75
3,1774843200,73,73
4,1766984400,147,98
4,1767589200,237,96
4,1768194000,221,95
4,1768798800,245,94
4,1769403600,205,92
4,1770008400,173,90
4,1770613200,259,88
4,1771218000,245,86
4,1771822800,276,85
4,1772427600,272,83
4,1773028800,203,80
4,1773633600,250,78
4,1774238400,233,74
4,1774843200,49,74
5,1766984400,132,97
5,1767589200,212,93
5,1768194000,180,89
5,1768798800,173,88
5,1769403600,193,84
5,1770008400,191,81
5,1770613200,173,80
5,1771218000,216,77
5,1771822800,226,75
5,1772427600,264,74
5,1773028800,212,70
5,1773633600,217,68
5,1774238400,245,65
5,1774843200,51,65
6,1766984400,135,99
6,1767589200,201,98
6,1768194000,192,95
6,1768798800,171,93
6,1769403600,146,93
6,1770008400,166,92
6,1770613200,191,90
6,1771218000,161,89
6,1771822800,168,84
6,1772427600,172,82
6,1773028800,153,80
6,1773633600,145,80
6,1774238400,170,77
6,1774843200,35,77
7,1766984400,117,99
7,1767589200,117,95
7,1768194000,131,90
7,1768798800,130,87
7,1769403600,144,83
7,1770008400,117,81
7,1770613200,149,79
7,1771218000,139,76
7,1771822800,152,74
7,1772427600,133,72
7,1773028800,107,70
7,1773633600,139,67
7,1774238400,123,67
7,1774843200,29,67
8,1766984400,145,99
8,1767589200,74,98
8,1768194000,160,98
8,1768798800,118,97
8,1769403600,125,93
8,1770008400,162,91
8,1770613200,118,89
8,1771218000,125,89
8,1771822800,170,87
8,1772427600,144,83
8,1773028800,110,81
8,1773633600,125,80
8,1774238400,136,78
8,1774843200,24,76
9,1766984400,91,99
9,1767589200,96,97
9,1768194000,106,96
9,1768798800,75,91
9,1769403600,98,89
9,1770008400,118,88
9,1770613200,81,86
9,1771218000,115,83
9,1771822800,92,82
9,1772427600,102,79
9,1773028800,92,78
9,1773633600,88,76
9,1774238400,116,76
9,1774843200,27,76
10,1766984400,68,99
10,1767589200,129,98
10,1768194000,96,94
10,1768798800,89,91
10,1769403600,122,88
10,1770008400,133,85
10,1770613200,106,83
10,1771218000,134,81
10,1771822800,95,77
10,1772427600,90,76
10,1773028800,94,74
10,1773633600,76,71
10,1774238400,57,69
10,1774843200,4,68
